prompt_num,question_id,category,principle,base_question,prompt_text,expected_correct
11,F2aud,factual,audience,What causes the seasons on Earth?,I am a curious high school student who has not studied this topic before. What causes the seasons on Earth?,Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
12,F2emo,factual,emotion,What causes the seasons on Earth?,"What causes the seasons on Earth?

This is critically important. My career and future depend on getting this right.",Earth's axial tilt of about 23.5 degrees relative to its orbital plane causes different hemispheres to receive more direct sunlight at different times of year as Earth orbits the sun. Distance from the sun is NOT the cause.
13,F3b,factual,baseline,How does a vaccine train the immune system?,How does a vaccine train the immune system?,"Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
14,F3fs,factual,few_shot,How does a vaccine train the immune system?,"Here are some examples of clear, accurate answers:

Q: How does evaporation work?
A: Evaporation is the process by which liquid water turns into water vapor. Heat energy causes water molecules at the surface to move faster, and some gain enough energy to break free from the liquid and enter the air as gas. This happens at all temperatures but accelerates with heat, lower humidity, and increased airflow.

Q: How does a magnet attract metal?
A: Magnets produce a magnetic field generated by aligned electron spins inside the magnet. When a ferromagnetic metal (such as iron) enters this field, the electrons in the metal align with the field, temporarily turning the metal into a magnet itself. The two fields then attract each other.

Now please answer this question in the same style:
Q: How does a vaccine train the immune system?
A:","Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
15,F3cot,factual,chain_of_thought,How does a vaccine train the immune system?,"How does a vaccine train the immune system?

Think through this step by step, working through your reasoning carefully before giving your final answer.","Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
16,F3r,factual,role,How does a vaccine train the immune system?,You are an expert science teacher with twenty years of experience explaining complex concepts clearly. How does a vaccine train the immune system?,"Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
17,F3aud,factual,audience,How does a vaccine train the immune system?,I am a curious high school student who has not studied this topic before. How does a vaccine train the immune system?,"Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
18,F3emo,factual,emotion,How does a vaccine train the immune system?,"How does a vaccine train the immune system?

This is critically important. My career and future depend on getting this right.","Vaccines expose the immune system to a harmless form of a pathogen (or its antigens), prompting B cells and T cells to recognize it and produce memory cells, so the immune system can rapidly mount a defense if exposed to the real pathogen."
19,F4b,factual,baseline,What is the difference between weather and climate?,What is the difference between weather and climate?,Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
20,F4fs,factual,few_shot,What is the difference between weather and climate?,"Here are some examples of clear, accurate answers:

Q: How does evaporation work?
A: Evaporation is the process by which liquid water turns into water vapor. Heat energy causes water molecules at the surface to move faster, and some gain enough energy to break free from the liquid and enter the air as gas. This happens at all temperatures but accelerates with heat, lower humidity, and increased airflow.

Q: How does a magnet attract metal?
A: Magnets produce a magnetic field generated by aligned electron spins inside the magnet. When a ferromagnetic metal (such as iron) enters this field, the electrons in the metal align with the field, temporarily turning the metal into a magnet itself. The two fields then attract each other.

Now please answer this question in the same style:
Q: What is the difference between weather and climate?
A:",Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
21,F4cot,factual,chain_of_thought,What is the difference between weather and climate?,"What is the difference between weather and climate?

Think through this step by step, working through your reasoning carefully before giving your final answer.",Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
22,F4r,factual,role,What is the difference between weather and climate?,You are an expert science teacher with twenty years of experience explaining complex concepts clearly. What is the difference between weather and climate?,Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
23,F4aud,factual,audience,What is the difference between weather and climate?,I am a curious high school student who has not studied this topic before. What is the difference between weather and climate?,Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
24,F4emo,factual,emotion,What is the difference between weather and climate?,"What is the difference between weather and climate?

This is critically important. My career and future depend on getting this right.",Weather is the short term state of the atmosphere (hours to days) at a specific place; climate is the long term average of weather patterns (typically 30+ years) over a region.
25,R1b,reasoning,baseline,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
26,R1fs,reasoning,few_shot,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"Here are some examples of clear, accurate answers:

Q: A pen and a notebook cost $5.50 together. The notebook costs $5.00 more than the pen. How much does the pen cost?
A: Let pen = x. Then notebook = x + 5.00. Together: x + (x + 5.00) = 5.50, so 2x = 0.50, and x = 0.25. The pen costs $0.25.

Q: If 4 painters can paint 4 walls in 4 hours, how long does it take 8 painters to paint 8 walls?
A: Each painter paints 1 wall in 4 hours. 8 painters working in parallel each paint 1 wall in the same 4 hours, so 8 walls are finished in 4 hours. The answer is 4 hours, not 8.

Now please answer this question in the same style:
Q: A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
A:","$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
27,R1cot,reasoning,chain_of_thought,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?

Think through this step by step, working through your reasoning carefully before giving your final answer.","$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
28,R1r,reasoning,role,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,You are an expert math and logic tutor who specializes in carefully working through problems step by step. A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
29,R1aud,reasoning,audience,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,I am a high school student who is good at math but might be tripped up by tricky phrasing. A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
30,R1emo,reasoning,emotion,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?

This is critically important. My career and future depend on getting this right.","$0.05 (5 cents). Common wrong answer: $0.10. If ball = x, bat = x + 1.00, then 2x + 1.00 = 1.10, so x = 0.05."
31,R2b,reasoning,baseline,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
32,R2fs,reasoning,few_shot,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","Here are some examples of clear, accurate answers:

Q: A pen and a notebook cost $5.50 together. The notebook costs $5.00 more than the pen. How much does the pen cost?
A: Let pen = x. Then notebook = x + 5.00. Together: x + (x + 5.00) = 5.50, so 2x = 0.50, and x = 0.25. The pen costs $0.25.

Q: If 4 painters can paint 4 walls in 4 hours, how long does it take 8 painters to paint 8 walls?
A: Each painter paints 1 wall in 4 hours. 8 painters working in parallel each paint 1 wall in the same 4 hours, so 8 walls are finished in 4 hours. The answer is 4 hours, not 8.

Now please answer this question in the same style:
Q: If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?
A:","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
33,R2cot,reasoning,chain_of_thought,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?

Think through this step by step, working through your reasoning carefully before giving your final answer.","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
34,R2r,reasoning,role,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","You are an expert math and logic tutor who specializes in carefully working through problems step by step. If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
35,R2aud,reasoning,audience,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","I am a high school student who is good at math but might be tripped up by tricky phrasing. If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
36,R2emo,reasoning,emotion,"If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?","If it takes 5 machines 5 minutes to make 5 pencils, how long would it take 100 machines to make 100 pencils?

This is critically important. My career and future depend on getting this right.","5 minutes. Each machine makes 1 pencil in 5 minutes, so 100 machines make 100 pencils in 5 minutes (parallel). Common wrong answer: 100 minutes."
37,R3b,reasoning,baseline,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
38,R3fs,reasoning,few_shot,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","Here are some examples of clear, accurate answers:

Q: A pen and a notebook cost $5.50 together. The notebook costs $5.00 more than the pen. How much does the pen cost?
A: Let pen = x. Then notebook = x + 5.00. Together: x + (x + 5.00) = 5.50, so 2x = 0.50, and x = 0.25. The pen costs $0.25.

Q: If 4 painters can paint 4 walls in 4 hours, how long does it take 8 painters to paint 8 walls?
A: Each painter paints 1 wall in 4 hours. 8 painters working in parallel each paint 1 wall in the same 4 hours, so 8 walls are finished in 4 hours. The answer is 4 hours, not 8.

Now please answer this question in the same style:
Q: If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?
A:",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
39,R3cot,reasoning,chain_of_thought,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?

Think through this step by step, working through your reasoning carefully before giving your final answer.",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
40,R3r,reasoning,role,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","You are an expert math and logic tutor who specializes in carefully working through problems step by step. If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
41,R3aud,reasoning,audience,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","I am a high school student who is good at math but might be tripped up by tricky phrasing. If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
42,R3emo,reasoning,emotion,"If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?","If you flip a fair coin 5 times in a row and it lands on heads every single time, what is the probability that the next flip will also be heads?

This is critically important. My career and future depend on getting this right.",50% (or 1/2). Coin flips are independent events; previous outcomes don't affect future outcomes (this is the gambler's fallacy if answered otherwise).
43,R4b,reasoning,baseline,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
44,R4fs,reasoning,few_shot,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"Here are some examples of clear, accurate answers:

Q: A pen and a notebook cost $5.50 together. The notebook costs $5.00 more than the pen. How much does the pen cost?
A: Let pen = x. Then notebook = x + 5.00. Together: x + (x + 5.00) = 5.50, so 2x = 0.50, and x = 0.25. The pen costs $0.25.

Q: If 4 painters can paint 4 walls in 4 hours, how long does it take 8 painters to paint 8 walls?
A: Each painter paints 1 wall in 4 hours. 8 painters working in parallel each paint 1 wall in the same 4 hours, so 8 walls are finished in 4 hours. The answer is 4 hours, not 8.

Now please answer this question in the same style:
Q: A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?
A:","28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
45,R4cot,reasoning,chain_of_thought,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?

Think through this step by step, working through your reasoning carefully before giving your final answer.","28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
46,R4r,reasoning,role,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,You are an expert math and logic tutor who specializes in carefully working through problems step by step. A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
47,R4aud,reasoning,audience,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,I am a high school student who is good at math but might be tripped up by tricky phrasing. A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
48,R4emo,reasoning,emotion,A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?,"A snail at the bottom of a 30 foot well climbs up 3 feet during the day but slips back down 2 feet each night. How many days does it take for the snail to climb out of the well?

This is critically important. My career and future depend on getting this right.","28 days. The snail nets 1 foot per full 24 hour cycle, but on the day it reaches the top (climbing 3 feet), it escapes before slipping. So it climbs to 27 feet over 27 days, then on day 28 climbs 3 feet to reach 30."
49,O1b,open_ended,baseline,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
50,O1fs,open_ended,few_shot,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"Here are some examples of clear, accurate answers:

Q: Write a short paragraph explaining why exercise matters.
A: Regular exercise is one of the most effective ways to maintain both physical and mental health. It strengthens the cardiovascular system, builds muscle, and supports a healthy weight, reducing the risk of chronic conditions like heart disease and diabetes. Beyond the physical, exercise has well documented effects on mood and cognition, releasing endorphins that reduce stress and improving sleep and focus. Even modest, consistent activity, such as a daily walk, produces measurable benefits over time.

Q: Brainstorm three uses for a single brick.
A: 1) A doorstop for heavy doors that drift on their own. 2) A weight to flatten warped books or freshly glued woodwork. 3) Pressed against a flowerbed border to create a low decorative edge that also keeps mulch in place.

Now please answer this question in the same style:
Q: Write a short paragraph (2-4 sentences) explaining why renewable energy matters.
A:","Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
51,O1cot,open_ended,chain_of_thought,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"Write a short paragraph (2-4 sentences) explaining why renewable energy matters.

Think through this step by step, working through your reasoning carefully before giving your final answer.","Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
52,O1r,open_ended,role,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"You are an experienced writer and creative thinker who is skilled at producing clear, engaging prose. Write a short paragraph (2-4 sentences) explaining why renewable energy matters.","Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
53,O1aud,open_ended,audience,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,I am a college educated general reader. Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
54,O1emo,open_ended,emotion,Write a short paragraph (2-4 sentences) explaining why renewable energy matters.,"Write a short paragraph (2-4 sentences) explaining why renewable energy matters.

This is critically important. My career and future depend on getting this right.","Quality response covers reasons such as: climate change mitigation, energy independence, finite fossil fuel resources, public health, long term economic benefits, etc. Should be coherent, well structured, and persuasive."
55,O2b,open_ended,baseline,Generate three creative ideas for reducing food waste in a college dining hall.,Generate three creative ideas for reducing food waste in a college dining hall.,"Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
56,O2fs,open_ended,few_shot,Generate three creative ideas for reducing food waste in a college dining hall.,"Here are some examples of clear, accurate answers:

Q: Write a short paragraph explaining why exercise matters.
A: Regular exercise is one of the most effective ways to maintain both physical and mental health. It strengthens the cardiovascular system, builds muscle, and supports a healthy weight, reducing the risk of chronic conditions like heart disease and diabetes. Beyond the physical, exercise has well documented effects on mood and cognition, releasing endorphins that reduce stress and improving sleep and focus. Even modest, consistent activity, such as a daily walk, produces measurable benefits over time.

Q: Brainstorm three uses for a single brick.
A: 1) A doorstop for heavy doors that drift on their own. 2) A weight to flatten warped books or freshly glued woodwork. 3) Pressed against a flowerbed border to create a low decorative edge that also keeps mulch in place.

Now please answer this question in the same style:
Q: Generate three creative ideas for reducing food waste in a college dining hall.
A:","Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
57,O2cot,open_ended,chain_of_thought,Generate three creative ideas for reducing food waste in a college dining hall.,"Generate three creative ideas for reducing food waste in a college dining hall.

Think through this step by step, working through your reasoning carefully before giving your final answer.","Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
58,O2r,open_ended,role,Generate three creative ideas for reducing food waste in a college dining hall.,"You are an experienced writer and creative thinker who is skilled at producing clear, engaging prose. Generate three creative ideas for reducing food waste in a college dining hall.","Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
59,O2aud,open_ended,audience,Generate three creative ideas for reducing food waste in a college dining hall.,I am a college educated general reader. Generate three creative ideas for reducing food waste in a college dining hall.,"Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
60,O2emo,open_ended,emotion,Generate three creative ideas for reducing food waste in a college dining hall.,"Generate three creative ideas for reducing food waste in a college dining hall.

This is critically important. My career and future depend on getting this right.","Quality response provides three distinct, plausible, and creative ideas. Examples: portion size choice signage, leftover redistribution app, composting program with student feedback dashboard, weigh and track student waste, partnerships with local food banks, etc."
61,O3b,open_ended,baseline,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
62,O3fs,open_ended,few_shot,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"Here are some examples of clear, accurate answers:

Q: Write a short paragraph explaining why exercise matters.
A: Regular exercise is one of the most effective ways to maintain both physical and mental health. It strengthens the cardiovascular system, builds muscle, and supports a healthy weight, reducing the risk of chronic conditions like heart disease and diabetes. Beyond the physical, exercise has well documented effects on mood and cognition, releasing endorphins that reduce stress and improving sleep and focus. Even modest, consistent activity, such as a daily walk, produces measurable benefits over time.

Q: Brainstorm three uses for a single brick.
A: 1) A doorstop for heavy doors that drift on their own. 2) A weight to flatten warped books or freshly glued woodwork. 3) Pressed against a flowerbed border to create a low decorative edge that also keeps mulch in place.

Now please answer this question in the same style:
Q: Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.
A:","Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
63,O3cot,open_ended,chain_of_thought,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.

Think through this step by step, working through your reasoning carefully before giving your final answer.","Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
64,O3r,open_ended,role,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"You are an experienced writer and creative thinker who is skilled at producing clear, engaging prose. Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.","Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
65,O3aud,open_ended,audience,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,I am a college educated general reader. Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
66,O3emo,open_ended,emotion,Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.,"Write a brief persuasive paragraph arguing for or against requiring a gap year between high school and college.

This is critically important. My career and future depend on getting this right.","Quality response takes a clear position, provides at least 2-3 supporting reasons, uses persuasive language, and is well organized."
67,O4b,open_ended,baseline,Brainstorm five practical uses for an old smartphone that no longer holds a charge well.,Brainstorm five practical uses for an old smartphone that no longer holds a charge well.,"Quality response provides five distinct and practical uses. Examples: dedicated security camera, music player at home (always plugged in), digital photo frame, baby monitor, kitchen recipe display, GPS-only travel device, kids' learning device, etc."
